NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MUSCLE STRUCTURE DEVELOPMENT%GOBP%GO:0061061	MUSCLE STRUCTURE DEVELOPMENT%GOBP%GO:0061061	Details ...	200	-0.8427877	-2.5317714	0.0	0.0	0.0	500	tags=20%, list=4%, signal=20%	
MUSCLE CONTRACTION%GOBP%GO:0006936	MUSCLE CONTRACTION%GOBP%GO:0006936	Details ...	104	-0.9118655	-2.5207973	0.0	0.0	0.0	388	tags=35%, list=3%, signal=35%	
MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 79%397014	MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 79%397014	Details ...	112	-0.8713213	-2.503495	0.0	0.0	0.0	388	tags=27%, list=3%, signal=27%	
MUSCLE SYSTEM PROCESS%GOBP%GO:0003012	MUSCLE SYSTEM PROCESS%GOBP%GO:0003012	Details ...	122	-0.89115846	-2.5007613	0.0	0.0	0.0	388	tags=33%, list=3%, signal=33%	
MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692	MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692	Details ...	114	-0.87122965	-2.4713814	0.0	0.0	0.0	374	tags=22%, list=3%, signal=22%	
ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	Details ...	77	-0.9234378	-2.4646926	0.0	0.0	0.0	365	tags=23%, list=3%, signal=24%	
HALLMARK_MYOGENESIS%MSIGDB_C2%HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS%MSIGDB_C2%HALLMARK_MYOGENESIS	Details ...	118	-0.8648531	-2.4405644	0.0	0.0	0.0	464	tags=29%, list=3%, signal=30%	
MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	Details ...	74	-0.92192876	-2.4197438	0.0	0.0	0.0	373	tags=31%, list=3%, signal=32%	
STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051146	STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051146	Details ...	85	-0.89584637	-2.4047701	0.0	0.0	0.0	374	tags=26%, list=3%, signal=26%	
MYOFIBRIL ASSEMBLY%GOBP%GO:0030239	MYOFIBRIL ASSEMBLY%GOBP%GO:0030239	Details ...	36	-0.9546006	-2.3746288	0.0	0.0	0.0	365	tags=47%, list=3%, signal=48%	
STRIATED MUSCLE CONTRACTION%GOBP%GO:0006941	STRIATED MUSCLE CONTRACTION%GOBP%GO:0006941	Details ...	49	-0.92623246	-2.3517406	0.0	0.0	0.0	462	tags=41%, list=3%, signal=42%	
MUSCLE ORGAN DEVELOPMENT%GOBP%GO:0007517	MUSCLE ORGAN DEVELOPMENT%GOBP%GO:0007517	Details ...	101	-0.8501267	-2.3438172	0.0	0.0	0.0	500	tags=24%, list=4%, signal=24%	
STRIATED MUSCLE CELL DEVELOPMENT%GOBP%GO:0055002	STRIATED MUSCLE CELL DEVELOPMENT%GOBP%GO:0055002	Details ...	37	-0.95447314	-2.340684	0.0	0.0	0.0	365	tags=46%, list=3%, signal=47%	
HEART CONTRACTION%GOBP%GO:0060047	HEART CONTRACTION%GOBP%GO:0060047	Details ...	43	-0.9198261	-2.3341699	0.0	0.0	0.0	464	tags=35%, list=3%, signal=36%	
REGULATION OF MUSCLE CONTRACTION%GOBP%GO:0006937	REGULATION OF MUSCLE CONTRACTION%GOBP%GO:0006937	Details ...	74	-0.8789053	-2.330639	0.0	0.0	0.0	388	tags=23%, list=3%, signal=24%	
CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS%GOBP%GO:0010927	CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS%GOBP%GO:0010927	Details ...	50	-0.932429	-2.3212268	0.0	0.0	0.0	365	tags=34%, list=3%, signal=35%	
HEART PROCESS%GOBP%GO:0003015	HEART PROCESS%GOBP%GO:0003015	Details ...	51	-0.90423137	-2.3158152	0.0	0.0	0.0	464	tags=29%, list=3%, signal=30%	
NON-MEMBRANE-BOUNDED ORGANELLE ASSEMBLY%GOBP%GO:0140694	NON-MEMBRANE-BOUNDED ORGANELLE ASSEMBLY%GOBP%GO:0140694	Details ...	239	-0.75502026	-2.3044858	0.0	0.0	0.0	365	tags=8%, list=3%, signal=8%	
MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0060537	MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0060537	Details ...	116	-0.8197157	-2.287962	0.0	0.0	0.0	464	tags=16%, list=3%, signal=17%	
ACTIN FILAMENT-BASED PROCESS%GOBP%GO:0030029	ACTIN FILAMENT-BASED PROCESS%GOBP%GO:0030029	Details ...	424	-0.6848795	-2.2857375	0.0	0.0	0.0	388	tags=8%, list=3%, signal=8%	
REGULATION OF MUSCLE SYSTEM PROCESS%GOBP%GO:0090257	REGULATION OF MUSCLE SYSTEM PROCESS%GOBP%GO:0090257		100	-0.8285892	-2.249974	0.0	1.5242654E-4	0.003	388	tags=20%, list=3%, signal=20%	
REGULATION OF HEART CONTRACTION%GOBP%GO:0008016	REGULATION OF HEART CONTRACTION%GOBP%GO:0008016		96	-0.801105	-2.2371874	0.0	1.9387707E-4	0.004	462	tags=18%, list=3%, signal=18%	
SARCOMERE ORGANIZATION%GOBP%GO:0045214	SARCOMERE ORGANIZATION%GOBP%GO:0045214		19	-0.9733937	-2.2296867	0.0	2.7944706E-4	0.006	316	tags=63%, list=2%, signal=65%	
CARDIAC MUSCLE CONTRACTION%GOBP%GO:0060048	CARDIAC MUSCLE CONTRACTION%GOBP%GO:0060048		37	-0.91708034	-2.2247224	0.0	4.0186875E-4	0.009	462	tags=35%, list=3%, signal=36%	
REGULATION OF STRIATED MUSCLE CONTRACTION%GOBP%GO:0006942	REGULATION OF STRIATED MUSCLE CONTRACTION%GOBP%GO:0006942		49	-0.892963	-2.223455	0.0	4.3039682E-4	0.01	388	tags=22%, list=3%, signal=23%	
NEUROMUSCULAR PROCESS%GOBP%GO:0050905	NEUROMUSCULAR PROCESS%GOBP%GO:0050905		33	-0.9243025	-2.2111602	0.0	7.4599206E-4	0.018	260	tags=27%, list=2%, signal=28%	
REGULATION OF SYSTEM PROCESS%GOBP%GO:0044057	REGULATION OF SYSTEM PROCESS%GOBP%GO:0044057		212	-0.73033625	-2.202688	0.0	0.0012364895	0.03	462	tags=15%, list=3%, signal=15%	
CELLULAR COMPONENT MORPHOGENESIS%GOBP%GO:0032989	CELLULAR COMPONENT MORPHOGENESIS%GOBP%GO:0032989		301	-0.70185536	-2.196874	0.0	0.0016131676	0.04	608	tags=12%, list=4%, signal=13%	
