NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KERATINIZATION%REACTOME%R-HSA-6805567.2	KERATINIZATION%REACTOME%R-HSA-6805567.2	Details ...	67	0.8656408	2.3248515	0.0	0.0	0.0	264	tags=31%, list=2%, signal=32%	
FORMATION OF THE CORNIFIED ENVELOPE%REACTOME%R-HSA-6809371.3	FORMATION OF THE CORNIFIED ENVELOPE%REACTOME%R-HSA-6809371.3	Details ...	41	0.8904798	2.2102413	0.0	0.0	0.0	988	tags=54%, list=7%, signal=58%	
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	Details ...	218	0.711279	2.1727054	0.0	6.341491E-4	0.002	1923	tags=42%, list=14%, signal=48%	
B CELL ACTIVATION%GOBP%GO:0042113	B CELL ACTIVATION%GOBP%GO:0042113	Details ...	86	0.77625036	2.1196752	0.0	9.4631145E-4	0.004	1231	tags=38%, list=9%, signal=42%	
LEUKOCYTE ACTIVATION%GOBP%GO:0045321	LEUKOCYTE ACTIVATION%GOBP%GO:0045321	Details ...	288	0.6666104	2.095957	0.0	0.00209105	0.011	1923	tags=38%, list=14%, signal=43%	
REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	Details ...	307	0.6628178	2.0937622	0.0	0.0020638176	0.013	1470	tags=32%, list=11%, signal=35%	
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	Details ...	233	0.6809196	2.0908945	0.0	0.0020447345	0.015	1275	tags=32%, list=9%, signal=34%	
KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	Details ...	50	0.81221676	2.0903883	0.0	0.0017891426	0.015	396	tags=32%, list=3%, signal=33%	
ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730	ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730	Details ...	48	0.84480536	2.086683	0.0	0.0016963514	0.016	537	tags=38%, list=4%, signal=39%	
POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903039	POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903039	Details ...	187	0.6852639	2.0735323	0.0	0.0022899318	0.024	1400	tags=33%, list=10%, signal=36%	
HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	Details ...	99	0.7529508	2.0703695	0.0	0.0022540735	0.026	586	tags=31%, list=4%, signal=32%	
POSITIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050870	POSITIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050870	Details ...	168	0.69096434	2.065825	0.0	0.00262269	0.033	1387	tags=32%, list=10%, signal=35%	
REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	Details ...	238	0.6663986	2.0431411	0.0	0.0049228254	0.066	1400	tags=32%, list=10%, signal=34%	
REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022407	REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022407	Details ...	317	0.64354545	2.0405915	0.0	0.0050457153	0.073	1400	tags=28%, list=10%, signal=31%	
T-CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP69%HOMO SAPIENS	T-CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP69%HOMO SAPIENS	Details ...	71	0.7607806	2.039782	0.0	0.0047720666	0.074	921	tags=32%, list=7%, signal=35%	
EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	Details ...	119	0.71457165	2.0370524	0.0	0.0048311823	0.079	678	tags=24%, list=5%, signal=25%	
POSITIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022409	POSITIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022409	Details ...	218	0.66429585	2.0365603	0.0	0.0046583996	0.081	1400	tags=30%, list=10%, signal=33%	
POSITIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051251	POSITIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051251	Details ...	213	0.66293913	2.0276034	0.0	0.0052452087	0.095	1470	tags=32%, list=11%, signal=35%	
MONONUCLEAR CELL DIFFERENTIATION%GOBP%GO:1903131	MONONUCLEAR CELL DIFFERENTIATION%GOBP%GO:1903131	Details ...	150	0.6948227	2.0214648	0.0	0.005819145	0.111	1304	tags=33%, list=9%, signal=36%	
EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913	EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913	Details ...	67	0.76365733	2.0197217	0.0	0.005670998	0.114	396	tags=27%, list=3%, signal=28%	
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742		106	0.7178045	2.0190125	0.0	0.005445578	0.115	885	tags=22%, list=6%, signal=23%	
INFLAMMATORY RESPONSE%GOBP%GO:0006954	INFLAMMATORY RESPONSE%GOBP%GO:0006954		207	0.66317135	2.0164402	0.0	0.0053268764	0.117	1122	tags=25%, list=8%, signal=26%	
POSITIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002696	POSITIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002696		236	0.6480284	2.0155141	0.0	0.0052190754	0.12	1470	tags=31%, list=11%, signal=34%	
LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0030098	LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0030098		124	0.70246017	2.0146756	0.0	0.005041696	0.121	1923	tags=42%, list=14%, signal=48%	
T CELL ACTIVATION%GOBP%GO:0042110	T CELL ACTIVATION%GOBP%GO:0042110		131	0.7057374	2.014605	0.0	0.004840028	0.121	1923	tags=43%, list=14%, signal=49%	
MODULATORS OF TCR SIGNALING AND T CELL ACTIVATION%WIKIPATHWAYS_20220310%WP5072%HOMO SAPIENS	MODULATORS OF TCR SIGNALING AND T CELL ACTIVATION%WIKIPATHWAYS_20220310%WP5072%HOMO SAPIENS		49	0.79385877	2.0116315	0.0	0.0051687136	0.132	1156	tags=43%, list=8%, signal=47%	
PID_IL1_PATHWAY%MSIGDB_C2%PID_IL1_PATHWAY	PID_IL1_PATHWAY%MSIGDB_C2%PID_IL1_PATHWAY		25	0.8574201	2.0061066	0.0	0.006108954	0.159	89	tags=16%, list=1%, signal=16%	
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851		105	0.7239837	2.0058744	0.0	0.0059246887	0.16	1275	tags=44%, list=9%, signal=48%	
